epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,23.2167,3.19287,0.29392,0.63514,3.4953,0.000236444,0.000236444,0.000236444
2,44.7835,1.91569,0.5,0.84122,3.28141,0.000469747,0.000469747,0.000469747
3,65.7159,1.28797,0.52365,0.87838,3.23905,0.000698338,0.000698338,0.000698338
4,86.2871,1.09729,0.50676,0.875,3.20466,0.000692794,0.000692794,0.000692794
5,107.387,0.88573,0.55743,0.93243,3.13893,0.000685726,0.000685726,0.000685726
6,128.237,0.87925,0.61486,0.90541,3.10066,0.000678657,0.000678657,0.000678657
7,149.216,0.77695,0.56419,0.90541,3.14532,0.000671588,0.000671588,0.000671588
8,173.221,0.75202,0.56419,0.87838,3.13998,0.00066452,0.00066452,0.00066452
9,199.456,0.6999,0.61824,0.89189,3.08759,0.000657451,0.000657451,0.000657451
10,222.24,0.6816,0.56757,0.90203,3.12574,0.000650383,0.000650383,0.000650383
11,243.583,0.57801,0.59797,0.91554,3.0868,0.000643314,0.000643314,0.000643314
12,265.064,0.59425,0.59122,0.93919,3.10717,0.000636245,0.000636245,0.000636245
13,290.095,0.59989,0.60811,0.91216,3.08149,0.000629177,0.000629177,0.000629177
14,317.587,0.53968,0.64189,0.94932,3.06232,0.000622108,0.000622108,0.000622108
15,340.729,0.53807,0.60473,0.94257,3.08939,0.00061504,0.00061504,0.00061504
16,363.103,0.49587,0.60811,0.9223,3.08494,0.000607971,0.000607971,0.000607971
17,385.363,0.5007,0.61149,0.94595,3.08001,0.000600902,0.000600902,0.000600902
18,407.974,0.47509,0.61824,0.9223,3.07306,0.000593834,0.000593834,0.000593834
19,430.059,0.44302,0.61486,0.93919,3.06784,0.000586765,0.000586765,0.000586765
20,452.609,0.44665,0.64527,0.93581,3.07666,0.000579697,0.000579697,0.000579697
21,475.445,0.4043,0.625,0.94257,3.04457,0.000572628,0.000572628,0.000572628
22,497.76,0.41621,0.69257,0.96959,3.00268,0.000565559,0.000565559,0.000565559
23,521.961,0.38023,0.64527,0.93919,3.04309,0.000558491,0.000558491,0.000558491
24,552.383,0.40151,0.61486,0.93243,3.06645,0.000551422,0.000551422,0.000551422
25,576.651,0.37065,0.68243,0.94257,3.01528,0.000544354,0.000544354,0.000544354
26,605.542,0.36658,0.66892,0.93581,3.00232,0.000537285,0.000537285,0.000537285
27,636.887,0.32135,0.59122,0.94595,3.06814,0.000530216,0.000530216,0.000530216
28,662.72,0.35667,0.67568,0.96284,3.03595,0.000523148,0.000523148,0.000523148
29,686.592,0.31912,0.65541,0.94932,3.00136,0.000516079,0.000516079,0.000516079
30,711.295,0.32261,0.65203,0.9527,3.03504,0.000509011,0.000509011,0.000509011
31,734.953,0.29059,0.63851,0.9527,3.0312,0.000501942,0.000501942,0.000501942
32,761.648,0.3317,0.66554,0.95608,3.0499,0.000494873,0.000494873,0.000494873
33,785.422,0.31487,0.65541,0.94932,3.01095,0.000487805,0.000487805,0.000487805
34,811.258,0.30606,0.68919,0.9527,3.00668,0.000480736,0.000480736,0.000480736
35,835.614,0.27937,0.65541,0.93243,3.03828,0.000473668,0.000473668,0.000473668
36,857.814,0.28109,0.625,0.93243,3.07257,0.000466599,0.000466599,0.000466599
37,880.48,0.27044,0.68581,0.95608,3.01051,0.00045953,0.00045953,0.00045953
38,902.475,0.26092,0.6723,0.93919,3.02047,0.000452462,0.000452462,0.000452462
39,924.873,0.26281,0.71622,0.9527,3.00155,0.000445393,0.000445393,0.000445393
40,947.291,0.28507,0.71284,0.96959,2.99296,0.000438325,0.000438325,0.000438325
41,969.224,0.26101,0.67905,0.96622,3.00608,0.000431256,0.000431256,0.000431256
42,991.622,0.25095,0.67568,0.95946,3.00818,0.000424187,0.000424187,0.000424187
43,1014.31,0.23305,0.62162,0.96959,3.04571,0.000417119,0.000417119,0.000417119
44,1041.6,0.23543,0.67568,0.95946,3.00369,0.00041005,0.00041005,0.00041005
45,1066.32,0.23564,0.7027,0.94932,2.99389,0.000402982,0.000402982,0.000402982
46,1088.53,0.2561,0.64527,0.94595,3.03339,0.000395913,0.000395913,0.000395913
47,1110.92,0.23901,0.71284,0.94257,2.98341,0.000388844,0.000388844,0.000388844
48,1133.2,0.20338,0.69257,0.9527,2.98117,0.000381776,0.000381776,0.000381776
49,1155.2,0.21166,0.69257,0.94595,2.98814,0.000374707,0.000374707,0.000374707
50,1177.71,0.18939,0.67905,0.94257,2.98567,0.000367639,0.000367639,0.000367639
51,1198.87,0.19012,0.69932,0.94595,2.98768,0.00036057,0.00036057,0.00036057
52,1220.05,0.1952,0.69932,0.94595,2.96233,0.000353501,0.000353501,0.000353501
53,1251.78,0.19436,0.68243,0.93581,3.0058,0.000346433,0.000346433,0.000346433
54,1284.89,0.17743,0.72297,0.9527,2.95513,0.000339364,0.000339364,0.000339364
55,1306.35,0.18991,0.67905,0.94257,2.97791,0.000332296,0.000332296,0.000332296
56,1327.71,0.20341,0.68581,0.93581,2.99905,0.000325227,0.000325227,0.000325227
57,1349.05,0.19054,0.7027,0.95608,2.96292,0.000318158,0.000318158,0.000318158
58,1371.19,0.17702,0.70946,0.95946,2.96215,0.00031109,0.00031109,0.00031109
59,1392.62,0.18385,0.72973,0.95608,2.97436,0.000304021,0.000304021,0.000304021
60,1415.59,0.16254,0.71959,0.9223,2.98836,0.000296953,0.000296953,0.000296953
61,1448.68,0.1518,0.71959,0.94257,2.97635,0.000289884,0.000289884,0.000289884
62,1472.2,0.16789,0.66554,0.93581,2.99478,0.000282815,0.000282815,0.000282815
63,1493.96,0.15912,0.73311,0.93919,2.95524,0.000275747,0.000275747,0.000275747
64,1515.54,0.14428,0.72297,0.94595,2.95692,0.000268678,0.000268678,0.000268678
65,1539.72,0.13902,0.70946,0.93919,2.98857,0.00026161,0.00026161,0.00026161
66,1563.97,0.16094,0.67905,0.93919,2.98536,0.000254541,0.000254541,0.000254541
67,1586.16,0.14721,0.71284,0.93581,2.97883,0.000247472,0.000247472,0.000247472
68,1608.18,0.14458,0.67905,0.94932,2.99946,0.000240404,0.000240404,0.000240404
69,1630.23,0.14356,0.69595,0.94932,2.984,0.000233335,0.000233335,0.000233335
70,1652.49,0.156,0.69595,0.93919,2.97419,0.000226267,0.000226267,0.000226267
71,1674.57,0.15415,0.69595,0.94257,2.98678,0.000219198,0.000219198,0.000219198
72,1697.87,0.12062,0.71284,0.94932,2.9862,0.000212129,0.000212129,0.000212129
73,1720.06,0.14504,0.70946,0.93581,2.9642,0.000205061,0.000205061,0.000205061
74,1743.03,0.13793,0.7027,0.94595,2.98119,0.000197992,0.000197992,0.000197992
75,1764.59,0.11327,0.68919,0.94257,2.97636,0.000190924,0.000190924,0.000190924
76,1786.31,0.12232,0.71959,0.95608,2.95111,0.000183855,0.000183855,0.000183855
77,1807.43,0.11983,0.68581,0.94932,2.96516,0.000176786,0.000176786,0.000176786
78,1828.57,0.1251,0.72297,0.94595,2.9563,0.000169718,0.000169718,0.000169718
79,1850.21,0.12659,0.72297,0.96284,2.95138,0.000162649,0.000162649,0.000162649
80,1872.69,0.08916,0.70946,0.95608,2.97365,0.000155581,0.000155581,0.000155581
81,1897.22,0.11113,0.71284,0.94932,2.97839,0.000148512,0.000148512,0.000148512
82,1918.37,0.12271,0.70946,0.94932,2.95097,0.000141443,0.000141443,0.000141443
83,1939.47,0.09517,0.71284,0.93243,2.95509,0.000134375,0.000134375,0.000134375
84,1960.98,0.11858,0.72297,0.93919,2.93716,0.000127306,0.000127306,0.000127306
85,1981.96,0.09386,0.69932,0.94595,2.97203,0.000120238,0.000120238,0.000120238
86,2003.09,0.09787,0.71622,0.9527,2.95792,0.000113169,0.000113169,0.000113169
87,2024.46,0.10884,0.72973,0.9527,2.9496,0.0001061,0.0001061,0.0001061
88,2045.14,0.11867,0.71622,0.96284,2.97139,9.90318e-05,9.90318e-05,9.90318e-05
89,2066.06,0.10687,0.70608,0.94932,2.95952,9.19632e-05,9.19632e-05,9.19632e-05
90,2087.93,0.07738,0.72635,0.9527,2.95406,8.48946e-05,8.48946e-05,8.48946e-05
91,2109.05,0.09966,0.7027,0.9527,2.9623,7.7826e-05,7.7826e-05,7.7826e-05
92,2131.03,0.08456,0.72297,0.9527,2.94536,7.07574e-05,7.07574e-05,7.07574e-05
93,2151.99,0.07838,0.72973,0.96284,2.93989,6.36888e-05,6.36888e-05,6.36888e-05
94,2172.77,0.0919,0.72297,0.9527,2.95677,5.66202e-05,5.66202e-05,5.66202e-05
95,2194.07,0.08476,0.72973,0.95608,2.95801,4.95516e-05,4.95516e-05,4.95516e-05
96,2214.9,0.09906,0.73649,0.95608,2.95588,4.2483e-05,4.2483e-05,4.2483e-05
97,2235.58,0.09331,0.71959,0.94932,2.94802,3.54144e-05,3.54144e-05,3.54144e-05
98,2257.19,0.09118,0.73986,0.9527,2.94728,2.83458e-05,2.83458e-05,2.83458e-05
99,2278.21,0.07662,0.71959,0.94932,2.94402,2.12772e-05,2.12772e-05,2.12772e-05
100,2299.18,0.08924,0.72297,0.9527,2.96954,1.42086e-05,1.42086e-05,1.42086e-05
